Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCA_036885675.1	ASM3688567v1	Vigna mungo					Urdbean		Annotation submitted by National Institute of Plant Genome Research	474197000	Chromosome	2/27/24		11		
GCA_028411795.1	ASM2841179v1	Euphorbia peplus				Ithaca			Annotation submitted by Cornell University	267196017	Chromosome	2/2/23		8		
GCF_905220565.1	ilMelCinx1.1	Melitaea cinxia							NCBI Melitaea cinxia Annotation Release 100	499397863	Chromosome	2/16/21		31		
GCF_024334085.1	ASM2433408v1	Lutzomyia longipalpis					SR_M1_2022	male	GCF_024334085.1-RS_2023_05	147838017	Chromosome	7/20/22		4		
GCF_000691945.2	ASM69194v2	Babesia microti strain RI		RI					Annotation submitted by Centre National de Sequencage GENOSCOPE	6395281	Chromosome	7/30/15		4		
GCF_000091225.2	ASM9122v2	Encephalitozoon cuniculi GB-M1					GB-M1		Annotation submitted by Genoscope	2497519	Chromosome	3/9/17		11		
GCF_026914265.1	ASM2691426v1	Mya arenaria					MELC-2E11	female	GCF_026914265.1-RS_2023_01	1216068291	Chromosome	12/15/22		17		
GCF_031168955.1	ASM3116895v1	Gadus macrocephalus					Gmac_GOA_2020		GCF_031168955.1-RS_2023_09	555681083	Chromosome	9/5/23		23		
GCA_013387185.1	ASM1338718v1	Caligus rogercresseyi					FCH		Annotation submitted by Universidad de Concepcion	478201101	Chromosome	11/13/19		21		
GCF_000755165.1	ASM75516v1	Leishmania panamensis		MHOM/PA/94/PSC-1					Annotation submitted by NCBI RefSeq	30688794	Chromosome	9/16/14		35		
GCF_030253575.1	ASM3025357v1	Rhododendron vialii					Sample 1		GCF_030253575.1-RS_2023_07	532733691	Chromosome	6/12/23		13		
GCF_905220415.1	ilColCroc2.1	Colias croceus							NCBI Colias croceus Annotation Release 100	324897031	Chromosome	2/16/21		32		
GCA_030710605.1	ASM3071060v1	Cordylochernes scorpioides					IN4F17	pooled male and female	"Annotation submitted by University of Nevada, Reno"	2619362661	Chromosome	8/10/23		24		
GCF_000146465.1	ASM14646v1	Encephalitozoon intestinalis ATCC 50506		ATCC 50506					"Annotation submitted by Keeling lab, University of British Columbia"	2216898	Chromosome	8/16/10		11		
GCA_900162835.1	version 2	Sporisorium reilianum f. sp. reilianum		SRS1_H2-8					Annotation submitted by Technische Universitat Munchen - WZW	18522598	Chromosome	2/8/18		23		
GCA_023547065.1	ASM2354706v1	Musa troglodytarum			karat				Annotation submitted by Chinese Academy of Tropical Agricultural Sciences	603587930	Chromosome	5/25/22		10		
GCF_001680005.1	ASM168000v1	Plasmodium coatneyi		Hackeri					Annotation submitted by NCBI RefSeq	27685530	Chromosome	7/6/16		14		
GCA_900106115.1	CBS 141442 assembly	[Candida] intermedia		CBS 141442					Annotation submitted by CHALMERS UNIVERSITY OF TECHNOLOGY	13140237	Chromosome	11/25/16		7		
GCF_000235365.1	ASM23536v1	Eremothecium cymbalariae DBVPG#7215		DBVPG#7215					Annotation submitted by Carlsberg Laboratory	9669424	Chromosome	11/14/11		8		
GCA_963425845.1	hybrid_with_Hi-C	Sphenostylis stenocarpa							Annotation submitted by International Livestock Research Institute	649801261	Chromosome	9/11/23		11		
GCF_002220235.1	ASM222023v1	Bathycoccus prasinos		RCC 1105					Annotation submitted by Genoscope	14958006	Chromosome	11/22/12		19		
GCF_003576645.1	ASM357664v1	Ipomoea triloba			NCNSP0323				NCBI Ipomoea triloba Annotation Release 100	461827428	Chromosome	9/19/18		16		
GCA_921294245.1	PGI_MELIAE_v1	Brassicogethes aeneus							Annotation submitted by ROTHAMSTED RESEARCH	585278335	Chromosome	1/17/22		11		
GCA_017357885.1	ASM1735788v1	Monilinia vaccinii-corymbosi		RL-1					Annotation submitted by North Carolina State University	30008100	Chromosome	3/16/21		9		
GCA_964035595.1	gfSpoDele1	Spongipellis delectans							Annotation submitted by Earlham Institute	30870404	Chromosome	5/2/24		11		
GCA_036428645.1	ASM3642864v1	Kwoniella sp. DSM 27419		DSM 27419					Annotation submitted by Broad Institute	18083668	Chromosome	2/7/24		18		
GCA_964034765.1	kcau_genome_v1	Knipowitschia caucasica							"Annotation submitted by university of cologne, biocenter, institute of zoology"	956577028	Chromosome	5/4/24		23		
GCA_902810595.1	AWG_v2	Coregonus sp. 'balchen'							Annotation submitted by EAWAG	2068074305	Chromosome	3/10/20		40		
GCA_900257145.2	Plasmodium billcollinsi	Plasmodium sp. DRC-Itaito							Annotation submitted by WTSI	21914523	Chromosome	6/28/20		14		
GCA_949927565.1	Lactuca_saligna	Lactuca saligna							Annotation submitted by WAGENINGEN UNIVERSITY	2165762035	Chromosome	6/27/23		10		
GCF_000219625.1	MYCGR v2.0	Zymoseptoria tritici IPO323		IPO323					Annotation submitted by DOE Joint Genome Institute	39686251	Chromosome	7/6/11	ACPE01	21		
GCA_001708105.1	ASM170810v1	Komagataella pastoris		ATCC 28485					Annotation submitted by Massachusetts Institute of Technology	9597535	Chromosome	8/12/16		11		
GCF_000187245.1	Hansenula_2	Ogataea parapolymorpha DL-1		DL-1					Annotation submitted by Centre	8874589	Chromosome	12/20/13	AEOI02	7		
GCA_022605425.2	FIOER33 v3	Hamiltosporidium tvaerminnensis					FI-OER-3-3		Annotation submitted by University of Basel	21638905	Chromosome	8/22/23	JAKIMF02	17		
GCF_000507465.2	ASM50746v4	Kwoniella mangroviensis CBS 8507		CBS 8507					Annotation submitted by Broad Institute	22796923	Chromosome	3/14/24	ASQE02	4		
GCA_900074725.1	LADA0	Lachancea dasiensis							Annotation submitted by INRA UMR 1319	10701617	Chromosome	10/25/16	FJUP01	8		
GCF_000236905.1	ASM23690v1	Tetrapisispora phaffii CBS 4417		type strain:CBS 4417					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	12115070	Chromosome	11/17/11		17		
GCA_900074755.1	LANO0	Lachancea nothofagi CBS 11611							Annotation submitted by INRA UMR 1319	11313798	Chromosome	10/25/16	FJUQ01	8		
GCA_900074715.1	LAME0	Lachancea meyersii CBS 8951							Annotation submitted by INRA UMR 1319	11261819	Chromosome	10/25/16	FJUM01	8		
GCF_035222475.1	CBS411.78m_1.0	Podospora pseudopauciseta		CBS 411.78					Annotation submitted by Uppsala University	36064112	Chromosome	1/12/24	JAFFHB01	10		
GCF_035222275.1	CBS112042p_1.0	Podospora bellae-mahoneyi		CBS 112042					Annotation submitted by Uppsala University	34330348	Chromosome	1/12/24	JAFFGZ01	9		
GCA_039105145.1	ASM3910514v1	Kwoniella newhampshirensis		CBS 13917					Annotation submitted by Broad Institute	20459564	Chromosome	5/2/24	JBCAWK01	17		
GCF_036323735.1	GRCr8	Rattus norvegicus		BN/NHsdMcwi				male	GCF_036323735.1-RS_2024_02	2849581192	Chromosome	1/31/24	JAXUCZ01	76		
GCF_001433935.1	IRGSP-1.0	Oryza sativa Japonica Group			Nipponbare				NCBI Oryza sativa Japonica Group Annotation Release 102	373795655	Chromosome	10/10/15		55		
GCF_000003025.6	Sscrofa11.1	Sus scrofa	Duroc				TJ Tabasco	female	NCBI Sus scrofa Annotation Release 106	2501895775	Chromosome	2/7/17	AEMK02	705		
GCF_002263795.3	ARS-UCD2.0	Bos taurus	Hereford				L1 Dominette 01449 registration number 42190680	female	GCF_002263795.3-RS_2023_09	2770669782	Chromosome	7/1/23	NKLS02	1957		
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus					bGalGal1	female	NCBI Gallus gallus Annotation Release 106	1053315467	Chromosome	1/19/21	JAENSK01	213		
GCF_902167145.1	Zm-B73-REFERENCE-NAM-5.0	Zea mays			B73				NCBI Zea mays Annotation Release 103	2182075994	Chromosome	3/21/20	CABHLF01	685		
GCF_000188115.5	SL3.1	Solanum lycopersicum			Heinz 1706				NCBI Solanum lycopersicum Annotation Release 103	827361276	Chromosome	4/18/18	AEKE03	3064		
GCF_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	German Shepherd				Mischka	female	NCBI Canis lupus familiaris Annotation Release 106	2481983352	Chromosome	3/10/20	JAAHUQ01	2197		
GCF_003254725.2	ASM325472v2	Canis lupus dingo					Sandy	female	NCBI Canis lupus dingo Annotation Release 102	2349862946	Chromosome	9/11/20	QKWQ02	159		
GCF_003339765.1	Mmul_10	Macaca mulatta					AG07107	female	NCBI Macaca mulatta Annotation Release 103	2971314966	Chromosome	2/13/19	QNVO02	2978		
GCF_018294505.1	IWGSC CS RefSeq v2.1	Triticum aestivum			Chinese Spring				NCBI Triticum aestivum Annotation Release 100	14566502436	Chromosome	5/6/21	JAGHKL01	91588		
GCF_000004515.6	Glycine_max_v4.0	Glycine max			Williams 82				NCBI Glycine max Annotation Release 104	978386919	Chromosome	3/10/21	ACUP04	345		
GCF_016772045.2	ARS-UI_Ramb_v3.0	Ovis aries	Rambouillet	OAR_USU_Benz2616				female	GCF_016772045.2-RS_2023_10	2654047367	Chromosome	7/20/23	JAEVFA01	142		
GCF_007990345.1	Gossypium_hirsutum_v2.1	Gossypium hirsutum					1008001.06		NCBI Gossypium hirsutum Annotation Release 101	2305241538	Chromosome	2/25/21	VKGJ01	1031		
GCF_904849725.1	MorexV3_pseudomolecules_assembly	Hordeum vulgare subsp. vulgare							NCBI Hordeum vulgare subsp. vulgare Annotation Release 100	4225577519	Chromosome	4/1/21	CAJHDD01	290		
GCF_020379485.1	Da-Ae	Brassica napus			Da-Ae				NCBI Brassica napus Annotation Release 102	1001499700	Chromosome	10/8/21	JAGKQM01	3164		
GCF_017654675.1	Xenopus_laevis_v10.1	Xenopus laevis		J_2021				female	NCBI Xenopus laevis Annotation Release 101	2742451793	Chromosome	4/12/21	JAGEVR01	54		
GCF_001704415.2	ARS1.2	Capra hircus	San Clemente					male	NCBI Capra hircus Annotation Release 102	2922600443	Chromosome	8/24/16	LWLT01	29885		
GCF_003254395.2	Amel_HAv3.1	Apis mellifera		DH4				male	NCBI Apis mellifera Annotation Release 104	225234541	Chromosome	9/10/18	QIUM02	176		
GCF_009806435.1	UM_NZW_1.0	Oryctolagus cuniculus	New Zealand White				DNA-2018	male	GCF_009806435.1-RS_2023_02	2841489785	Chromosome	2/4/21	VIYN02	3159		
GCF_002863925.1	EquCab3.0	Equus caballus	thoroughbred				Twilight	female	NCBI Equus caballus Annotation Release 103	2506949475	Chromosome	1/5/18	PJAA01	4700		
GCF_013265735.2	USDA_OmykA_1.1	Oncorhynchus mykiss					Arlee	male	NCBI Oncorhynchus mykiss Annotation Release 101	2341671972	Chromosome	9/23/20	JAAXML02	938		
GCF_000309985.2	CAAS_Brap_v3.01	Brassica rapa			Chiifu-401-42				NCBI Brassica rapa Updated Annotation Release 103.20201202	352829610	Chromosome	1/23/20	AENI03	1099		
GCF_000003195.3	Sorghum_bicolor_NCBIv3	Sorghum bicolor			BTx623				NCBI Sorghum bicolor Annotation Release 101	708735318	Chromosome	4/7/17	ABXC03	867		
GCF_002114115.1	ASM211411v1	Malus domestica			Golden Delicious		X9273 #13		NCBI Malus domestica Annotation Release 102	702961352	Chromosome	5/3/17	MJAX01	806		
GCF_003473485.1	MtrunA17r5.0-ANR	Medicago truncatula			Jemalong A17				NCBI Medicago truncatula Annotation Release 102	429612362	Chromosome	9/12/18	PSQE01	40		
GCF_002204515.2	AaegL5.0	Aedes aegypti		LVP_AGWG				male	NCBI Aedes aegypti Annotation Release 101	1278715314	Chromosome	6/22/17	NIGP01	2309		
GCF_000002595.2	Chlamydomonas_reinhardtii_v5.5	Chlamydomonas reinhardtii		CC-503 cw92 mt+					Annotation submitted by DOE Joint Genome Institute	111098438	Chromosome	1/26/18	ABCN02	53		
GCF_000004075.3	Cucumber_9930_V3	Cucumis sativus			9930				NCBI Cucumis sativus Annotation Release 102	224801081	Chromosome	11/15/19	ACHR03	84		
GCF_905237065.1	Ssal_v3.1	Salmo salar							NCBI Salmo salar Annotation Release 102	2756584103	Chromosome	4/21/21	CAJNNT02	4222		
GCF_000002655.1	ASM265v1	Aspergillus fumigatus Af293		Af293					Annotation submitted by J. Craig Venter Institute	29384958	Chromosome	6/10/05	AAHF01	8		
GCF_003086295.2	arahy.Tifrunner.gnm1.KYV3	Arachis hypogaea			Tifrunner				NCBI Arachis hypogaea Annotation Release 101	2556916893	Chromosome	5/30/18	PIVG01	384		
GCF_000006565.2	TGA4	Toxoplasma gondii ME49		ME49					Annotation submitted by NCBI RefSeq	65633124	Chromosome	8/2/13	ABPA02	2276		
GCF_000695525.1	BOL	Brassica oleracea var. oleracea			TO1000				NCBI Brassica oleracea Annotation Release 100	488593889	Chromosome	5/27/14	JJMF01	32885		
GCF_000346465.2	Prunus_persica_NCBIv2	Prunus persica			Lovell				NCBI Prunus persica Annotation Release 100	227411381	Chromosome	2/2/17	AKXU02	191		
GCF_002878395.1	UCD10Xv1.1	Capsicum annuum			UCD-10X-F1				NCBI Capsicum annuum Annotation Release 101	3211819707	Chromosome	1/30/18	NPHV01	81200		
GCF_000182925.2	NC12	Neurospora crassa OR74A		OR74A					Annotation submitted by Broad Institute	41037538	Chromosome	10/25/13	AABX03	20		
GCF_015476345.1	ZJU1.0	Anas platyrhynchos	Pekin duck				Z2	pooled male and female	NCBI Anas platyrhynchos Annotation Release 104	1188516685	Chromosome	11/23/20	JACGAL01	755		
GCA_000499845.2	P. vulgaris v2.0	Phaseolus vulgaris			G19833				Annotation submitted by JGI	537154354	Chromosome	4/23/24	ANNZ02	1032		
GCF_000499845.1	PhaVulg1_0	Phaseolus vulgaris			G19833				Annotation submitted by NCBI RefSeq	521076696	Chromosome	11/29/13	ANNZ01	708		
GCF_001858045.2	O_niloticus_UMD_NMBU	Oreochromis niloticus					F11D_XX	female	NCBI Oreochromis niloticus Annotation Release 104	1005664923	Chromosome	6/29/18	MKQE02	2459		
GCF_000002495.2	MG8	Pyricularia oryzae 70-15		70-15					Annotation submitted by International Rice Blast Genome Consortium	40979121	Chromosome	10/14/11	AACU03	53		
GCF_000002445.2	ASM244v1	Trypanosoma brucei brucei TREU927							Annotation submitted by Trypanosoma brucei consortium	26075494	Chromosome	12/14/05		12		
GCF_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis		Nigerian				female	NCBI Xenopus tropicalis Annotation Release 104	1451283599	Chromosome	11/14/19	AAMC04	166		
GCF_000240135.3	ASM24013v3	Fusarium graminearum PH-1		PH-1; NRRL 31084					Annotation submitted by International Gibberella zeae Genomics Consortium	36458046	Chromosome	11/21/08	AACM02	31		
GCF_003668045.3	CriGri-PICRH-1.0	Cricetulus griseus		17A/GY				female	NCBI Cricetulus griseus Annotation Release 104	2366634374	Chromosome	6/11/20	RAZU02	647		
GCF_902806645.1	cgigas_uk_roslin_v1	Magallana gigas							NCBI Crassostrea gigas Annotation Release 102	647887097	Chromosome	2/19/20	CADCXH01	236		
GCF_025177605.1	USDA_Cmelo_AY_1.0	Cucumis melo			AY				NCBI Cucumis melo Annotation Release 102	438252206	Chromosome	9/14/22	JANHKN01	1309		
GCF_023101765.2	AGI-APGP_CSIRO_Sfru_2.0	Spodoptera frugiperda					SF20-4		NCBI Spodoptera frugiperda Annotation Release 102	383907753	Chromosome	8/26/22	JAKUHG02	68		
GCF_943734735.2	idAnoGambNW_F1_1	Anopheles gambiae							GCF_943734735.2-RS_2023_12	264451381	Chromosome	9/9/22	CALSDY02	190		
GCF_018350175.1	F.catus_Fca126_mat1.0	Felis catus					Fca126	female	NCBI Felis catus Annotation Release 105	2425730029	Chromosome	5/13/21	JAFEKA01	70		
GCF_016920845.1	GAculeatus_UGA_version5	Gasterosteus aculeatus aculeatus		Lake Benthic				male	NCBI Gasterosteus aculeatus Annotation Release 100	471877818	Chromosome	2/23/21	JACDQR01	2936		
GCF_000002425.4	Phypa V3	Physcomitrium patens				Gransden 2004			NCBI Physcomitrella patens Annotation Release 100	471852792	Chromosome	1/24/18	ABEU02	357		
GCF_020631705.1	ASM2063170v1.1	Daphnia magna					NIES	female	NCBI Daphnia magna Annotation Release 101	161452108	Chromosome	10/27/21	JAIFAF01	308		
GCF_000331145.1	ASM33114v1	Cicer arietinum			CDC Frontier				NCBI Cicer arietinum Annotation Release 102	530768543	Chromosome	1/16/13	ANPC01	7544		
GCF_000247795.1	Bos_indicus_1.0	Bos indicus	Nelore				QUIL7308	male	NCBI Bos indicus Annotation Release 100	2673949103	Chromosome	11/25/14	AGFL01	31		
GCF_011100555.1	mCalJa1.2.pat.X	Callithrix jacchus					mCalJac1	male	GCF_011100555.1-RS_2023_03	2874864526	Chromosome	4/28/21	JAALXP02	1233		
GCF_001659605.2	M.esculenta_v8	Manihot esculenta			AM560-2				NCBI Manihot esculenta Annotation Release 101	639586700	Chromosome	8/13/21	LTYI02	102		
GCF_000005505.3	Brachypodium_distachyon_v3.0	Brachypodium distachyon		Bd21					NCBI Brachypodium distachyon Annotation Release 103	271163419	Chromosome	1/24/18	ADDN03	14		
GCF_000150955.2	ASM15095v2	Phaeodactylum tricornutum CCAP 1055/1		CCAP 1055/1					Annotation submitted by Diatom Consortium	27450724	Chromosome	12/12/08	ABQD01	88		
GCF_002870075.4	Lsat_Salinas_v11	Lactuca sativa			Salinas				GCF_002870075.4-RS_2022_12	2589853228	Chromosome	11/23/22	NBSK02	91		
GCF_018340385.1	ASM1834038v1	Cyprinus carpio					SPL01		NCBI Cyprinus carpio Annotation Release 101	1680118328	Chromosome	5/12/21	JAEOAB01	6700		
GCF_029168945.1	ASM2916894v1	Cannabis sativa			Pink pepper		KNU-18-1	female	GCF_029168945.1-RS_2023_11	770269637	Chromosome	3/14/23	JAQSJK01	17		
GCF_000002775.5	P.trichocarpa_v4.1	Populus trichocarpa					Nisqually-1		NCBI Populus trichocarpa Annotation Release 102	392162179	Chromosome	10/20/22	AARH04	105		
GCF_030052815.1	ASM3005281v1	Hevea brasiliensis					MT/VB/25A 57/8		GCF_030052815.1-RS_2023_06	1876490218	Chromosome	5/22/23	JARPOI01	754		
GCF_036884655.1	Cavendish_Baxijiao_AAA	Musa acuminata AAA Group			baxijiao				GCF_036884655.1-RS_2024_05	1533734047	Chromosome	2/28/24	JASKDL01	1085		
GCF_000313855.2	ASM31385v2	Musa acuminata subsp. malaccensis		Doubled-haploid Pahang (DH-Pahang)					NCBI Musa acuminata Annotation Release 101	472231289	Chromosome	11/14/12	CAIC01	7512		
GCF_031307605.1	icTriCast1.1	Tribolium castaneum		GA2				male	GCF_031307605.1-RS_2024_04	241845558	Chromosome	9/14/23	JANKOB01	148		
GCF_000237925.1	ASM23792v2	Schistosoma mansoni		Puerto Rico					Annotation submitted by Schistosoma Genome Network	364518427	Chromosome	12/13/11	CABG01	884		
GCF_024323335.1	CAAS_Psat_ZW6_1.0	Pisum sativum			Zhongwan6				NCBI Pisum sativum Annotation Release 100	3796066963	Chromosome	7/19/22	JAMSHJ01	1566		
GCF_019924925.1	HZGC01	Ctenopharyngodon idella					HZGC_01	female	GCF_019924925.1-RS_2023_02	893198495	Chromosome	9/14/21	JAIKLG01	30		
GCF_002742605.1	O_europaea_v1	Olea europaea var. sylvestris							NCBI Olea europaea var. sylvestris Annotation Release 100	1140989389	Chromosome	11/3/17	MSRW01	41225		
GCF_002127325.2	HanXRQr2.0-SUNRISE	Helianthus annuus			XRQ/B				NCBI Helianthus annuus Annotation Release 101	3009595538	Chromosome	7/15/20	MNCJ02	332		
GCF_000263155.2	Setaria_italica_v2.0	Setaria italica		Yugu1					NCBI Setaria italica Annotation Release 103	405732883	Chromosome	10/30/15	AGNK02	336		
GCF_000004695.1	dicty_2.7	Dictyostelium discoideum AX4		AX4					Annotation submitted by NCBI RefSeq	34149409	Chromosome	8/24/09	AAFI02	40		
